         3741936 function calls (3648040 primitive calls) in 2.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22794    0.115    0.000    0.115    0.000 decoder.py:343(raw_decode)
        1    0.098    0.098    1.956    1.956 test_protocol.py:75(run)
    53876    0.088    0.000    0.128    0.000 pathlib.py:63(parse_parts)
    21996    0.087    0.000    1.171    0.000 storage.py:193(__getitem__)
    53876    0.082    0.000    0.239    0.000 pathlib.py:640(_parse_args)
63136/1782    0.067    0.000    0.157    0.000 copy.py:132(deepcopy)
    53871    0.062    0.000    0.378    0.000 pathlib.py:694(_make_child)
    94293    0.059    0.000    0.088    0.000 random.py:224(_randbelow)
    21996    0.050    0.000    0.132    0.000 executor.py:55(from_json_data_dict)
    55743    0.046    0.000    0.468    0.000 protocol.py:411(would_retransmit)
    20796    0.044    0.000    0.388    0.000 protocol_messages.py:92(from_json_data_dict)
240796/240174    0.041    0.000    0.088    0.000 {built-in method builtins.len}
    27648    0.037    0.000    0.068    0.000 pathlib.py:700(__str__)
    53871    0.037    0.000    0.064    0.000 pathlib.py:673(_from_parsed_parts)
    22260    0.037    0.000    0.037    0.000 {built-in method posix.urandom}
    21996    0.036    0.000    0.282    0.000 sample_command.py:43(from_json_data_dict)
    81905    0.035    0.000    0.048    0.000 storage.py:212(__len__)
43192/22396    0.035    0.000    0.422    0.000 utils.py:249(parse)
    22794    0.035    0.000    0.187    0.000 decoder.py:332(decode)
    16146    0.034    0.000    0.041    0.000 protocol_messages.py:153(from_json_data_dict)
    43488    0.029    0.000    0.067    0.000 random.py:174(randrange)
    45631    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
     5810    0.026    0.000    0.026    0.000 encoder.py:204(iterencode)
   190889    0.025    0.000    0.025    0.000 {built-in method builtins.isinstance}
    22794    0.025    0.000    0.222    0.000 __init__.py:299(loads)
    22396    0.025    0.000    0.450    0.000 storage.py:27(post_proc)
    50805    0.024    0.000    0.078    0.000 random.py:256(choice)
   158678    0.023    0.000    0.023    0.000 storage.py:264(get_value)
    27647    0.022    0.000    0.031    0.000 pathlib.py:683(_format_parsed_parts)
    21999    0.022    0.000    0.067    0.000 libra_address.py:10(__init__)
   170406    0.022    0.000    0.022    0.000 {method 'getrandbits' of '_random.Random' objects}
    85384    0.020    0.000    0.020    0.000 {built-in method __new__ of type object at 0x10a311e10}
    53870    0.019    0.000    0.396    0.000 pathlib.py:907(__truediv__)
    22196    0.018    0.000    0.088    0.000 utils.py:263(get_unique_string)
    20996    0.017    0.000    0.019    0.000 protocol_messages.py:36(__init__)
5711/1782    0.017    0.000    0.144    0.000 copy.py:268(_reconstruct)
5711/1782    0.016    0.000    0.126    0.000 copy.py:236(_deepcopy_dict)
      311    0.016    0.000    0.878    0.003 protocol.py:182(<listcomp>)
    53904    0.016    0.000    0.016    0.000 {built-in method sys.intern}
    57755    0.016    0.000    0.049    0.000 storage.py:253(set_value)
    22196    0.015    0.000    0.103    0.000 shared_object.py:7(__init__)
    53877    0.015    0.000    0.015    0.000 pathlib.py:291(splitroot)
    53876    0.014    0.000    0.014    0.000 pathlib.py:1017(_init)
    21999    0.014    0.000    0.045    0.000 base64.py:65(b64decode)
   133814    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
    23402    0.014    0.000    0.203    0.000 storage.py:190(base_key)
    43488    0.014    0.000    0.081    0.000 random.py:218(randint)
      161    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
   133799    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    53871    0.012    0.000    0.012    0.000 pathlib.py:101(join_parsed_parts)
    21999    0.012    0.000    0.021    0.000 base64.py:34(_bytes_from_decode_data)
    22196    0.012    0.000    0.115    0.000 sample_command.py:7(__init__)
    22196    0.011    0.000    0.011    0.000 executor.py:8(__init__)
   102225    0.010    0.000    0.010    0.000 {method 'random' of '_random.Random' objects}
    36430    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
    21999    0.010    0.000    0.010    0.000 {built-in method binascii.a2b_base64}
    22199    0.010    0.000    0.018    0.000 base64.py:51(b64encode)
      802    0.009    0.000    0.021    0.000 mock.py:1014(_mock_call)
    16812    0.009    0.000    0.889    0.000 storage.py:225(__iter__)
